stimulus_id,ll.obs,n,p.val
if1_lh,893.2402131980214,1000,0.831
independent_ll,664.0675573503436,1000,0.566
if2_ll,483.2581207369045,1000,0.561
if2_u-Ll,497.4065834814637,1000,0.495
if2_hl,581.6851792962373,1000,0.303
independent_ul,91.82153519823001,1000,0.294
if2_ul,461.6956073200579,1000,0.221
independent_uh,295.8441885181517,1000,0.133
independent_hl,513.6961011442448,1000,0.094
if1_u-Lh,314.9056917916482,1000,0.003
independent_hh,582.0602559765391,1000,0.003
if1_hh,451.7317544471302,1000,0
if1_uh,359.74661798578086,1000,0
